endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/db/PRES,Assign Pressure Loads,"DELETE,GET,POST,PUT",success,,,0,0.0795,
/db/PRLS,Plate End Release,"DELETE,GET,POST,PUT",success,,,0,0.1001,
/db/PRST,Prestress Beam Loads,"DELETE,GET,POST,PUT",success,,,0,0.0993,
/db/PSLT,Define Pressure Load Type,"DELETE,GET,POST,PUT",success,,,0,0.0962,
/db/PSSF,Section Manager - Plate Stiffness Scale Factor,"DELETE,GET,POST,PUT",success,,,0,0.0932,
/db/PTNS,Pretension Loads,"DELETE,GET,POST,PUT",success,,,0,0.0893,
/db/PZEF,Panel Zone Effects,"GET,POST,PUT",success,,,0,0.0915,
/db/RCHK,Rebar Check Input (Beam/Column),"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.0782,GET and /info both returned 404.
/db/REBB,Modify Beam Rebar,"DELETE,GET,POST,PUT",success,,,0,0.0843,
/db/REBR,Modify Brace Rebar,"DELETE,GET,POST,PUT",success,,,0,0.0836,
/db/REBW,Modify Wall Rebar,"DELETE,GET,POST,PUT",success,,,0,0.0789,
/db/RIGD,Rigid Link,"DELETE,GET,POST,PUT",success,,,0,0.0787,
/db/RPSC,Section Manager - Reinforcements,"DELETE,GET,POST,PUT",success,,,0,0.0786,
/db/SBDO,Define Sub-Domain,"DELETE,GET,POST,PUT",success,,,0,0.1008,
/db/SDHY,Seismic Device - Hysteretic Isolator (MSS),"DELETE,GET,POST,PUT",success,,,0,0.0924,
/db/SDIS,Seismic Device - Isolator (MSS),"DELETE,GET,POST,PUT",success,,,0,0.1056,
/db/SDSP,Specified Displacements of Support,"DELETE,GET,POST,PUT",success,,,0,0.0907,
/db/SDST,Seismic Device - Steel Damper,"DELETE,GET,POST,PUT",success,,,0,0.097,
/db/SDVE,Seismic Device - Viscoelastic Damper,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/db/SDVI,Seismic Device - Viscous/Oil Damper,"DELETE,GET,POST,PUT",success,,,0,0.081,
/db/SECF,Section Manager - Stiffness,"DELETE,GET,POST,PUT",success,,,0,0.0762,
/db/SECT,Section Properties,"DELETE,GET,POST,PUT",success,,,0,0.0811,
/db/SKEW,Node Local Axis,"DELETE,GET,POST,PUT",success,,,0,0.078,
/db/SMCT,Settlement Analysis Control Data,"DELETE,GET,POST,PUT",success,,,0,0.0783,
/db/SMLC,Settlement Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.082,
/db/SMPT,Settlement Group,"DELETE,GET,POST,PUT",success,,,0,0.0922,
/db/SPAN,Span Information,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.0899,GET and /info both returned 404.
/db/SPFC,Response Spectrum Functions,"DELETE,GET,POST,PUT",success,,,0,0.0912,
/db/SPLC,Response Spectrum Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.0903,
/db/SSEIS,Static Seismic Load,"DELETE,GET,POST,PUT",success,,,0,0.0799,
/db/SSPS,Surface Spring,"DELETE,GET,POST,PUT",success,,,0,0.0794,
/db/STAG,Define Construction Stage,"DELETE,GET,POST,PUT",success,,,0,0.0948,
/db/STBK,Set-Back Loads for Nonlinear Construction Stage,"DELETE,GET,POST,PUT",success,,,0,0.0844,
/db/STCT,Construction Stage Analysis Control Data,"DELETE,GET,POST,PUT",success,,,0,0.0914,
/db/STLD,Static Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.095,
/db/STMP,System Temperature,"DELETE,GET,POST,PUT",success,,,0,0.098,
/db/STOR,Story Data,"DELETE,GET,POST,PUT",success,,,0,0.0983,
/db/STRPSSM,Section Manager - Stress Points,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.0823,GET and /info both returned 404.
/db/STYP,Structure Type,"GET,PUT",success,,,1,0.0916,
/db/SWIND,Static Wind Load,"DELETE,GET,POST,PUT",success,,,0,0.0911,
/db/TDCS,Tendon Location for Composite Section,"DELETE,GET,POST,PUT",success,,,0,0.0947,
